Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-7B,8,8,1,32,32,1024,0.0668405,0.0032527518208821,0.00541,0.0755032518208821,0.0623185,2.628422558268229,3043.6506393670984,69.61952244004948,260.3942311923514,1.0
Llama2-7B,8,4,2,32,32,1024,0.0419425,0.0038090618387858,0.00541,0.0511615618387858,0.0332945,1.8204644788411457,2197.241443868371,72.09740305725924,214.86977128586537,1.0
Llama2-7B,8,2,4,32,32,1024,0.0309475,0.0040872168477376,0.00541,0.0404447168477376,0.0186065,1.462837439127604,1367.2059153700257,81.91189080016194,165.42509653478058,1.0
Llama2-7B,8,1,8,32,32,1024,0.024971,0.0042958331044514,0.00541,0.0346768331044515,0.0112625,1.270921159342448,786.8308688143821,96.66563387785362,120.97237029686144,1.0
Llama2-7B,8,8,1,32,32,1152,0.070266,0.0032527518208821,0.00585,0.0793687518208821,0.0623185,2.752118558268229,2906.851514795933,71.62549699790644,254.8369659504827,1.0
Llama2-7B,8,4,2,32,32,1152,0.045368,0.0038090618387858,0.00585,0.0550270618387858,0.0332945,1.9441604788411453,2057.443325040882,74.10404012146874,204.17485926608165,1.0
Llama2-7B,8,2,4,32,32,1152,0.032565,0.0040872168477376,0.00585,0.0425022168477376,0.0186065,1.528677439127604,1308.320479395165,82.75976031150552,158.83571378685994,1.0
Llama2-7B,8,1,8,32,32,1152,0.0265885,0.0042958331044514,0.00585,0.0367343331044515,0.0112625,1.3367611593424478,748.0767921861969,97.51615341460727,114.6127007618511,1.0
Llama2-7B,8,8,1,32,32,1280,0.071122,0.0032527518208821,0.00629,0.0806647518208821,0.0623185,2.793590558268229,2863.6981093461554,71.86092712163617,252.5973929362088,1.0
Llama2-7B,8,4,2,32,32,1280,0.046224,0.0038090618387858,0.00629,0.0563230618387858,0.0332945,1.985632478841146,2014.471480812239,74.34013275155097,201.0322904539605,1.0
Llama2-7B,8,2,4,32,32,1280,0.033421,0.0040872168477376,0.00629,0.0437982168477376,0.0186065,1.570149439127604,1273.7641081547158,82.99717795429278,155.2115024129529,1.0
Llama2-7B,8,1,8,32,32,1280,0.0274445,0.0042958331044514,0.00629,0.0380303331044515,0.0112625,1.378233159342448,725.5666381420527,97.7562210828046,111.3112612303975,1.0
Llama2-7B,8,8,1,32,32,1408,0.0719835,0.0032527518208821,0.00673,0.0819662518208821,0.0623185,2.8352385582682293,2821.632055147564,71.81079561811062,249.40019455191336,1.0
Llama2-7B,8,4,2,32,32,1408,0.0470855,0.0038090618387858,0.00673,0.0576245618387858,0.0332945,2.027280478841146,1973.0866260235089,74.57628122826551,197.9810165238384,1.0
Llama2-7B,8,2,4,32,32,1408,0.0342825,0.0040872168477376,0.00673,0.0450997168477376,0.0186065,1.611797439127604,1240.850712036441,83.23465144371238,151.7440593664996,1.0
Llama2-7B,8,1,8,32,32,1408,0.028306,0.0042958331044514,0.00673,0.0393318331044515,0.0112625,1.419881159342448,704.2842940905728,97.99634459763423,108.1885737538356,1.0
Llama2-7B,8,8,1,32,32,1536,0.0728345,0.0032527518208821,0.00717,0.0832572518208821,0.0623185,2.876550558268229,2781.108775232598,72.33179994918946,248.27451259083765,1.0
Llama2-7B,8,4,2,32,32,1536,0.0479365,0.0038090618387858,0.00717,0.0589155618387858,0.0332945,2.068592478841146,1933.681979855624,74.81233059180933,195.0818546196773,1.0
Llama2-7B,8,2,4,32,32,1536,0.0351335,0.0040872168477376,0.00717,0.0463907168477376,0.0186065,1.653109439127604,1209.8412559155556,83.47202581996113,148.49080261709116,1.0
Llama2-7B,8,1,8,32,32,1536,0.029157,0.0042958331044514,0.00717,0.0406228331044515,0.0112625,1.461193159342448,684.3722156829768,98.23636899929308,105.2881479997225,1.0
Llama2-7B,8,8,1,32,32,1664,0.075498,0.0032527518208821,0.00761,0.0863607518208821,0.0623185,2.975862558268229,2688.2961976091774,73.72734810159622,244.13675892605187,1.0
